visit_date,condition,clicked_like
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,1
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
2018-04-01,control,0
